idx,data structure,Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed, Time[Seconds]
161,Array,50,99,512,10,526073178,4
162,Array,50,99,512,1000,33447051,4
163,Array,50,99,512,100000,101051,4
164,Array,50,99,512,10000000,201,4
165,Array,50,99,8192,10,21226701,4
166,Array,50,99,8192,1000,4
167,Array,50,99,8192,100000,1901,4
168,Array,50,99,8192,10000000,4
169,Array,50,90,8,10,1009660937,4
170,Array,50,90,8,1000,811371765,4
171,Array,50,90,8,100000,21901551,4
172,Array,50,90,8,10000000,20801,4
173,Array,50,90,512,10,524521461,4
174,Array,50,90,512,1000,33402351,4
175,Array,50,90,512,100000,101551,4
176,Array,50,90,512,10000000,201,4
177,Array,50,90,8192,10,21100511,4
178,Array,50,90,8192,1000,4
179,Array,50,90,8192,100000,4
180,Array,50,90,8192,10000000,4
181,Array,50,50,8,10,1013760607,4
182,Array,50,50,8,1000,801077101,4
183,Array,50,50,8,100000,21701251,4
184,Array,50,50,8,10000000,20751,4
185,Array,50,50,512,10,530223151,4
186,Array,50,50,512,1000,34016551,4
187,Array,50,50,512,100000,101551,4
188,Array,50,50,512,10000000,151,4
189,Array,50,50,8192,10,
190,Array,50,50,8192,1000,1137651,4
191,Array,50,50,8192,100000,1901,4
192,Array,50,50,8192,10000000,
193,LinkedList,0,100,8,10,1826264559,4 seconds
194,LinkedList,0,100,8,1000,1944880349,4 seconds
195,LinkedList,0,100,8,100000,1962407012,4 seconds
196,LinkedList,0,100,8,10000000,1961522299,4 seconds
197,LinkedList,0,100,512,10,1872232049,4 seconds
198,LinkedList,0,100,512,1000,652038007,4 seconds
199,LinkedList,0,100,512,100000,630155801,4 seconds
200,LinkedList,0,100,512,10000000,638626801,4 seconds
201,LinkedList,0,100,8192,10,1858124436,4 seconds
202,LinkedList,0,100,8192,1000,392865801,4 seconds
203,LinkedList,0,100,8192,100000,44448501,4 seconds
204,LinkedList,0,100,8192,10000000,46518001,4 seconds
205,LinkedList,0,99,8,10,1864553947,4 seconds
206,LinkedList,0,99,8,1000,1961166040,4 seconds
207,LinkedList,0,99,8,100000,1959385387,4 seconds
208,LinkedList,0,99,8,10000000,1948579519,4 seconds
209,LinkedList,0,99,512,10,1833071088,4 seconds
210,LinkedList,0,99,512,1000,569584397,4 seconds
211,LinkedList,0,99,512,100000,624446410,4 seconds
212,LinkedList,0,99,512,10000000,625516872,4 seconds
213,LinkedList,0,99,8192,10,1860108027,4 seconds
214,LinkedList,0,99,8192,1000,334616793,4 seconds
215,LinkedList,0,99,8192,100000,45189992,4 seconds
216,LinkedList,0,99,8192,10000000,45240665,4 seconds
217,LinkedList,0,90,8,10,1846884476,4 seconds
218,LinkedList,0,90,8,1000,1942070223,4 seconds
219,LinkedList,0,90,8,100000,1941581053,4 seconds
220,LinkedList,0,90,8,10000000,1932152586,4 seconds
221,LinkedList,0,90,512,10,1864854679,4 seconds
222,LinkedList,0,90,512,1000,583660631,4 seconds
223,LinkedList,0,90,512,100000,587512347,4 seconds
224,LinkedList,0,90,512,10000000,585471101,4 seconds
225,LinkedList,0,90,8192,10,1862143651,4 seconds
226,LinkedList,0,90,8192,1000,311246361,4 seconds
227,LinkedList,0,90,8192,100000,38565071,4 seconds
228,LinkedList,0,90,8192,10000000,40352171,4 seconds
229,LinkedList,0,50,8,10,1858996660,4 seconds
230,LinkedList,0,50,8,1000,1871801361,4 seconds
231,LinkedList,0,50,8,100000,1859545064,4 seconds
232,LinkedList,0,50,8,10000000,1858558665,4 seconds
233,LinkedList,0,50,512,10,1858322926,4 seconds
234,LinkedList,0,50,512,1000,387598851,4 seconds
235,LinkedList,0,50,512,100000,375331701,4 seconds
236,LinkedList,0,50,512,10000000,371342601,4 seconds
237,LinkedList,0,50,8192,10,1874476570,4 seconds
238,LinkedList,0,50,8192,1000,207864801,4 seconds
239,LinkedList,0,50,8192,100000,23186251,4 seconds
240,LinkedList,0,50,8192,10000000,21678051,4 seconds
241,LinkedList,1,100,8,10,420776758,4 seconds
242,LinkedList,1,100,8,1000,417724028,4 seconds
243,LinkedList,1,100,8,100000,415296632,4 seconds
244,LinkedList,1,100,8,10000000,419188215,4 seconds
245,LinkedList,1,100,512,10,387232529,4 seconds
246,LinkedList,1,100,512,1000,9647918,4 seconds
247,LinkedList,1,100,512,100000,9460753,4 seconds
248,LinkedList,1,100,512,10000000,9252803,4 seconds
249,LinkedList,1,100,8192,10,378679457,4 seconds
250,LinkedList,1,100,8192,1000,4392150,4 seconds
251,LinkedList,1,100,8192,100000,467818,4 seconds
252,LinkedList,1,100,8192,10000000,471775,4 seconds
253,LinkedList,1,99,8,10,418235596,4 seconds
254,LinkedList,1,99,8,1000,408897657,4 seconds
255,LinkedList,1,99,8,100000,400267683,4 seconds
256,LinkedList,1,99,8,10000000,415648969,4 seconds
257,LinkedList,1,99,512,10,364325883,4 seconds
258,LinkedList,1,99,512,1000,9622935,4 seconds
259,LinkedList,1,99,512,100000,9284943,4 seconds
260,LinkedList,1,99,512,10000000,9436460,4 seconds
261,LinkedList,1,99,8192,10,375947485,4 seconds
262,LinkedList,1,99,8192,1000,4405489,4 seconds
263,LinkedList,1,99,8192,100000,488802,4 seconds
264,LinkedList,1,99,8192,10000000,482880,4 seconds
265,LinkedList,1,90,8,10,413648330,4 seconds
266,LinkedList,1,90,8,1000,400187071,4 seconds
267,LinkedList,1,90,8,100000,403227086,4 seconds
268,LinkedList,1,90,8,10000000,406988618,4 seconds
269,LinkedList,1,90,512,10,376662351,4 seconds
270,LinkedList,1,90,512,1000,9440774,4 seconds
271,LinkedList,1,90,512,100000,9346205,4 seconds
272,LinkedList,1,90,512,10000000,9366332,4 seconds
273,LinkedList,1,90,8192,10,372736190,4 seconds
274,LinkedList,1,90,8192,1000,4387853,4 seconds
275,LinkedList,1,90,8192,100000,489209,4 seconds
276,LinkedList,1,90,8192,10000000,482921,4 seconds
277,LinkedList,1,50,8,10,408774297,4 seconds
278,LinkedList,1,50,8,1000,393606785,4 seconds
279,LinkedList,1,50,8,100000,398120740,4 seconds
280,LinkedList,1,50,8,10000000,399830069,4 seconds
281,LinkedList,1,50,512,10,377578181,4 seconds
282,LinkedList,1,50,512,1000,9496698,4 seconds
283,LinkedList,1,50,512,100000,9107597,4 seconds
284,LinkedList,1,50,512,10000000,9308351,4 seconds
285,LinkedList,1,50,8192,10,378109373,4 seconds
286,LinkedList,1,50,8192,1000,4367453,4 seconds
287,LinkedList,1,50,8192,100000,480660,4 seconds
288,LinkedList,1,50,8192,10000000,481196,4 seconds
289,LinkedList,10,100,8,10,922964894,4 seconds
290,LinkedList,10,100,8,1000,867499735,4 seconds
291,LinkedList,10,100,8,100000,851012263,4 seconds
292,LinkedList,10,100,8,10000000,854048144,4 seconds
293,LinkedList,10,100,512,10,922648981,4 seconds
294,LinkedList,10,100,512,1000,78495071,4 seconds
295,LinkedList,10,100,512,100000,79052971,4 seconds
296,LinkedList,10,100,512,10000000,79214941,4 seconds
297,LinkedList,10,100,8192,10,925650739,4 seconds
298,LinkedList,10,100,8192,1000,39328421,4 seconds
299,LinkedList,10,100,8192,100000,4496581,4 seconds
300,LinkedList,10,100,8192,10000000,4414381,4 seconds
301,LinkedList,10,99,8,10,926383938,4 seconds
302,LinkedList,10,99,8,1000,888193681,4 seconds
303,LinkedList,10,99,8,100000,861225780,4 seconds
304,LinkedList,10,99,8,10000000,856347311,4 seconds
305,LinkedList,10,99,512,10,924756015,4 seconds
306,LinkedList,10,99,512,1000,77111931,4 seconds
307,LinkedList,10,99,512,100000,79334651,4 seconds
308,LinkedList,10,99,512,10000000,76464711,4 seconds
309,LinkedList,10,99,8192,10,924172490,4 seconds
310,LinkedList,10,99,8192,1000,38847694,4 seconds
311,LinkedList,10,99,8192,100000,4488381,4 seconds
