idx, data structure, Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed, Time[Seconds]
164,Array,50,99,512,10000000,1,10
165,Array,50,99,8192,10,3886341,4
166,Array,50,99,8192,1000,39201,4
167,Array,50,99,8192,100000,101,4
168,Array,50,99,8192,10000000,
169,Array,50,90,8,10,179737750,4
170,Array,50,90,8,1000,164475582,4
171,Array,50,90,8,100000,1803501,4
172,Array,50,90,8,10000000,1501,4
173,Array,50,90,512,10,80708001,4
174,Array,50,90,512,1000,3885001,4
175,Array,50,90,512,100000,2901,4
176,Array,50,90,512,10000000,1,9
177,Array,50,90,8192,10,3491731,4
178,Array,50,90,8192,1000,42101,4
179,Array,50,90,8192,100000,101,4
180,Array,50,90,8192,10000000,
181,Array,50,50,8,10,179819193,4
182,Array,50,50,8,1000,164451481,4
183,Array,50,50,8,100000,1839651,4
184,Array,50,50,8,10000000,1251,4
185,Array,50,50,512,10,82170993,4
186,Array,50,50,512,1000,3543001,4
187,Array,50,50,512,100000,2751,4
188,Array,50,50,512,10000000,1,9
189,Array,50,50,8192,10,4250701,4
190,Array,50,50,8192,1000,54301,4
191,Array,50,50,8192,100000,151,4
192,Array,50,50,8192,10000000,4
193,LinkedList,0,100,8,10,253763152,4 seconds
194,LinkedList,0,100,8,1000,345087342,4 seconds
195,LinkedList,0,100,8,100000,342748413,4 seconds
196,LinkedList,0,100,8,10000000,347097548,4 seconds
197,LinkedList,0,100,512,10,330123912,4 seconds
198,LinkedList,0,100,512,1000,222500557,4 seconds
199,LinkedList,0,100,512,100000,215640301,4 seconds
200,LinkedList,0,100,512,10000000,220466901,4 seconds
201,LinkedList,0,100,8192,10,327632100,4 seconds
202,LinkedList,0,100,8192,1000,164308701,4 seconds
203,LinkedList,0,100,8192,100000,11776293,4 seconds
204,LinkedList,0,100,8192,10000000,13587401,4 seconds
205,LinkedList,0,99,8,10,329993791,4 seconds
206,LinkedList,0,99,8,1000,339718784,4 seconds
207,LinkedList,0,99,8,100000,332579764,4 seconds
208,LinkedList,0,99,8,10000000,344136762,4 seconds
209,LinkedList,0,99,512,10,318357022,4 seconds
210,LinkedList,0,99,512,1000,209154554,4 seconds
211,LinkedList,0,99,512,100000,215514158,4 seconds
212,LinkedList,0,99,512,10000000,219744769,4 seconds
213,LinkedList,0,99,8192,10,330288925,4 seconds
214,LinkedList,0,99,8192,1000,150207793,4 seconds
215,LinkedList,0,99,8192,100000,12811485,4 seconds
216,LinkedList,0,99,8192,10000000,11102960,4 seconds
217,LinkedList,0,90,8,10,331428405,4 seconds
218,LinkedList,0,90,8,1000,341442973,4 seconds
219,LinkedList,0,90,8,100000,341295563,4 seconds
220,LinkedList,0,90,8,10000000,344172282,4 seconds
221,LinkedList,0,90,512,10,327232123,4 seconds
222,LinkedList,0,90,512,1000,207323451,4 seconds
223,LinkedList,0,90,512,100000,211103061,4 seconds
224,LinkedList,0,90,512,10000000,212206149,4 seconds
225,LinkedList,0,90,8192,10,331315311,4 seconds
226,LinkedList,0,90,8192,1000,143111783,4 seconds
227,LinkedList,0,90,8192,100000,10457061,4 seconds
228,LinkedList,0,90,8192,10000000,12026621,4 seconds
229,LinkedList,0,50,8,10,328811714,4 seconds
230,LinkedList,0,50,8,1000,336582208,4 seconds
231,LinkedList,0,50,8,100000,346835140,4 seconds
232,LinkedList,0,50,8,10000000,343866133,4 seconds
233,LinkedList,0,50,512,10,330173462,4 seconds
234,LinkedList,0,50,512,1000,165868351,4 seconds
235,LinkedList,0,50,512,100000,163030151,4 seconds
236,LinkedList,0,50,512,10000000,162592201,4 seconds
237,LinkedList,0,50,8192,10,331213471,4 seconds
238,LinkedList,0,50,8192,1000,107654901,4 seconds
239,LinkedList,0,50,8192,100000,7757151,4 seconds
240,LinkedList,0,50,8192,10000000,6691101,4 seconds
241,LinkedList,1,100,8,10,69533795,4 seconds
242,LinkedList,1,100,8,1000,70700223,4 seconds
243,LinkedList,1,100,8,100000,70890690,4 seconds
244,LinkedList,1,100,8,10000000,68154999,4 seconds
245,LinkedList,1,100,512,10,67171124,4 seconds
246,LinkedList,1,100,512,1000,5612775,4 seconds
247,LinkedList,1,100,512,100000,5459768,4 seconds
248,LinkedList,1,100,512,10000000,5484543,4 seconds
249,LinkedList,1,100,8192,10,68117431,4 seconds
250,LinkedList,1,100,8192,1000,2787335,4 seconds
251,LinkedList,1,100,8192,100000,144412,4 seconds
252,LinkedList,1,100,8192,10000000,151739,4 seconds
253,LinkedList,1,99,8,10,68878461,4 seconds
254,LinkedList,1,99,8,1000,66725286,4 seconds
255,LinkedList,1,99,8,100000,69272466,4 seconds
256,LinkedList,1,99,8,10000000,70355723,4 seconds
257,LinkedList,1,99,512,10,62387219,4 seconds
258,LinkedList,1,99,512,1000,5587344,4 seconds
259,LinkedList,1,99,512,100000,5479699,4 seconds
260,LinkedList,1,99,512,10000000,5489452,4 seconds
261,LinkedList,1,99,8192,10,67942525,4 seconds
262,LinkedList,1,99,8192,1000,2769960,4 seconds
263,LinkedList,1,99,8192,100000,121740,4 seconds
264,LinkedList,1,99,8192,10000000,119942,4 seconds
265,LinkedList,1,90,8,10,66937560,4 seconds
266,LinkedList,1,90,8,1000,70534239,4 seconds
267,LinkedList,1,90,8,100000,69561164,4 seconds
268,LinkedList,1,90,8,10000000,69496294,4 seconds
269,LinkedList,1,90,512,10,67782578,4 seconds
270,LinkedList,1,90,512,1000,5611961,4 seconds
271,LinkedList,1,90,512,100000,5480725,4 seconds
272,LinkedList,1,90,512,10000000,5442933,4 seconds
273,LinkedList,1,90,8192,10,68214827,4 seconds
274,LinkedList,1,90,8192,1000,2783270,4 seconds
275,LinkedList,1,90,8192,100000,131690,4 seconds
276,LinkedList,1,90,8192,10000000,128982,4 seconds
277,LinkedList,1,50,8,10,69112241,4 seconds
278,LinkedList,1,50,8,1000,69649390,4 seconds
279,LinkedList,1,50,8,100000,70707201,4 seconds
280,LinkedList,1,50,8,10000000,70759530,4 seconds
281,LinkedList,1,50,512,10,68020879,4 seconds
282,LinkedList,1,50,512,1000,5546808,4 seconds
283,LinkedList,1,50,512,100000,5392016,4 seconds
284,LinkedList,1,50,512,10000000,5417451,4 seconds
285,LinkedList,1,50,8192,10,66965400,4 seconds
286,LinkedList,1,50,8192,1000,2753761,4 seconds
287,LinkedList,1,50,8192,100000,136754,4 seconds
288,LinkedList,1,50,8192,10000000,126983,4 seconds
289,LinkedList,10,100,8,10,167388225,4 seconds
290,LinkedList,10,100,8,1000,168397708,4 seconds
291,LinkedList,10,100,8,100000,167901461,4 seconds
292,LinkedList,10,100,8,10000000,172597531,4 seconds
293,LinkedList,10,100,512,10,166657132,4 seconds
294,LinkedList,10,100,512,1000,41349891,4 seconds
295,LinkedList,10,100,512,100000,40414091,4 seconds
296,LinkedList,10,100,512,10000000,40254291,4 seconds
297,LinkedList,10,100,8192,10,168002031,4 seconds
298,LinkedList,10,100,8192,1000,23261991,4 seconds
299,LinkedList,10,100,8192,100000,1224551,4 seconds
300,LinkedList,10,100,8192,10000000,1122151,4 seconds
301,LinkedList,10,99,8,10,170402757,4 seconds
302,LinkedList,10,99,8,1000,166943307,4 seconds
303,LinkedList,10,99,8,100000,168764560,4 seconds
304,LinkedList,10,99,8,10000000,171686073,4 seconds
305,LinkedList,10,99,512,10,168447851,4 seconds
306,LinkedList,10,99,512,1000,40673651,4 seconds
307,LinkedList,10,99,512,100000,40120811,4 seconds
308,LinkedList,10,99,512,10000000,40244431,4 seconds
309,LinkedList,10,99,8192,10,164272241,4 seconds
310,LinkedList,10,99,8192,1000,22486841,4 seconds
311,LinkedList,10,99,8192,100000,1273201,4 seconds
312,LinkedList,10,99,8192,10000000,1277931,4 seconds
313,LinkedList,10,90,8,10,169426027,4 seconds
314,LinkedList,10,90,8,1000,168141798,4 seconds
315,LinkedList,10,90,8,100000,169992943,4 seconds
316,LinkedList,10,90,8,10000000,170766077,4 seconds
317,LinkedList,10,90,512,10,169111436,4 seconds
318,LinkedList,10,90,512,1000,40739201,4 seconds
319,LinkedList,10,90,512,100000,40264280,4 seconds
320,LinkedList,10,90,512,10000000,39977776,4 seconds
321,LinkedList,10,90,8192,10,167649686,4 seconds
322,LinkedList,10,90,8192,1000,22461922,4 seconds
323,LinkedList,10,90,8192,100000,998191,4 seconds
324,LinkedList,10,90,8192,10000000,1002291,4 seconds
325,LinkedList,10,50,8,10,171034956,4 seconds
326,LinkedList,10,50,8,1000,170117569,4 seconds
327,LinkedList,10,50,8,100000,170954931,4 seconds
328,LinkedList,10,50,8,10000000,166424246,4 seconds
329,LinkedList,10,50,512,10,168699451,4 seconds
330,LinkedList,10,50,512,1000,38687771,4 seconds
331,LinkedList,10,50,512,100000,37637339,4 seconds
332,LinkedList,10,50,512,10000000,38245001,4 seconds
333,LinkedList,10,50,8192,10,168707808,4 seconds
