# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'L1-dcache-load-misses:u'
# Event count (approx.): 729337502
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    14.47%  npb_bt_a  npb_bt_a          [.] y_solve
    13.44%  npb_bt_a  npb_bt_a          [.] z_solve
    12.88%  npb_bt_a  npb_bt_a          [.] matmul_sub
    11.04%  npb_bt_a  npb_bt_a          [.] x_solve
     9.72%  npb_bt_a  npb_bt_a          [.] lhsinit
     2.88%  npb_bt_a  npb_bt_a          [.] matvec_sub
     0.36%  npb_bt_a  npb_bt_a          [.] compute_rhs
     0.01%  npb_bt_a  npb_bt_a          [.] initialize
     0.01%  npb_bt_a  npb_bt_a          [.] add
     0.00%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01150
     0.00%  npb_bt_a  npb_bt_a          [.] set_constants


# Samples: 42K of event 'L1-icache-loads:u'
# Event count (approx.): 20112958997
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    30.87%  npb_bt_a  npb_bt_a       [.] binvcrhs
    15.03%  npb_bt_a  npb_bt_a       [.] matmul_sub
    13.94%  npb_bt_a  npb_bt_a       [.] x_solve
    13.70%  npb_bt_a  npb_bt_a       [.] y_solve
    13.58%  npb_bt_a  npb_bt_a       [.] z_solve
     8.19%  npb_bt_a  npb_bt_a       [.] compute_rhs
     3.90%  npb_bt_a  npb_bt_a       [.] matvec_sub
     0.23%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.18%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.16%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.12%  npb_bt_a  npb_bt_a       [.] add
     0.08%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.01%  npb_bt_a  npb_bt_a       [.] initialize


# Samples: 29K of event 'LLC-load-misses:u'
# Event count (approx.): 44541709
#
# Overhead  Command   Shared Object     Symbol                
# ........  ........  ................  ......................
#
    41.88%  npb_bt_a  npb_bt_a          [.] compute_rhs
    18.61%  npb_bt_a  npb_bt_a          [.] y_solve
    13.21%  npb_bt_a  npb_bt_a          [.] z_solve
     8.47%  npb_bt_a  npb_bt_a          [.] add
     6.32%  npb_bt_a  npb_bt_a          [.] matmul_sub
     6.16%  npb_bt_a  npb_bt_a          [.] matvec_sub
     3.38%  npb_bt_a  npb_bt_a          [.] binvcrhs
     1.35%  npb_bt_a  npb_bt_a          [.] x_solve
     0.60%  npb_bt_a  npb_bt_a          [.] lhsinit
     0.01%  npb_bt_a  npb_bt_a          [.] binvrhs
     0.00%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01c80
     0.00%  npb_bt_a  npb_bt_a          [.] exact_solution
     0.00%  npb_bt_a  npb_bt_a          [.] initialize


# Samples: 30K of event 'LLC-loads:u'
# Event count (approx.): 86031270
#
# Overhead  Command   Shared Object     Symbol                
# ........  ........  ................  ......................
#
    49.27%  npb_bt_a  npb_bt_a          [.] compute_rhs
    14.63%  npb_bt_a  npb_bt_a          [.] y_solve
    14.32%  npb_bt_a  npb_bt_a          [.] z_solve
     5.99%  npb_bt_a  npb_bt_a          [.] matvec_sub
     5.94%  npb_bt_a  npb_bt_a          [.] add
     4.41%  npb_bt_a  npb_bt_a          [.] matmul_sub
     4.20%  npb_bt_a  npb_bt_a          [.] binvcrhs
     0.80%  npb_bt_a  npb_bt_a          [.] x_solve
     0.35%  npb_bt_a  npb_bt_a          [.] lhsinit
     0.04%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.04%  npb_bt_a  npb_bt_a          [.] binvrhs
     0.01%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01c80
     0.00%  npb_bt_a  npb_bt_a          [.] exact_solution
     0.00%  npb_bt_a  npb_bt_a          [.] initialize


# Samples: 3K of event 'LLC-prefetch-misses:u'
# Event count (approx.): 34021295
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    80.70%  npb_bt_a  npb_bt_a       [.] compute_rhs
     8.81%  npb_bt_a  npb_bt_a       [.] x_solve
     6.36%  npb_bt_a  npb_bt_a       [.] add
     2.28%  npb_bt_a  npb_bt_a       [.] matmul_sub
     1.41%  npb_bt_a  npb_bt_a       [.] binvcrhs
     0.17%  npb_bt_a  npb_bt_a       [.] matvec_sub
     0.14%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.08%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.03%  npb_bt_a  npb_bt_a       [.] y_solve
     0.01%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.00%  npb_bt_a  npb_bt_a       [.] binvrhs


# Samples: 3K of event 'LLC-prefetches:u'
# Event count (approx.): 56039549
#
