# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13  of event 'LLC-stores:u'
# Event count (approx.): 25717
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    65.03%  npb_bt_s  npb_bt_s       [.] compute_rhs
    16.08%  npb_bt_s  npb_bt_s       [.] binvcrhs
    12.65%  npb_bt_s  npb_bt_s       [.] x_solve
     6.24%  npb_bt_s  npb_bt_s       [.] z_solve


# Samples: 36  of event 'branch-load-misses:u'
# Event count (approx.): 267206
#
# Overhead  Command   Shared Object  Symbol                
# ........  ........  .............  ......................
#
    24.04%  npb_bt_s  npb_bt_s       [.] binvcrhs
    15.74%  npb_bt_s  npb_bt_s       [.] matmul_sub
    15.30%  npb_bt_s  npb_bt_s       [.] compute_rhs
    14.07%  npb_bt_s  npb_bt_s       [.] matvec_sub
    11.14%  npb_bt_s  npb_bt_s       [.] x_solve
     6.71%  npb_bt_s  libc-2.28.so   [.] __GI___printf_fp_l
     3.99%  npb_bt_s  npb_bt_s       [.] z_solve
     3.13%  npb_bt_s  npb_bt_s       [.] binvrhs
     3.03%  npb_bt_s  npb_bt_s       [.] lhsinit
     2.85%  npb_bt_s  npb_bt_s       [.] add


# Samples: 52  of event 'branch-loads:u'
# Event count (approx.): 402481
#
# Overhead  Command   Shared Object  Symbol                          
# ........  ........  .............  ................................
#
    26.73%  npb_bt_s  npb_bt_s       [.] matvec_sub
    23.27%  npb_bt_s  npb_bt_s       [.] compute_rhs
    17.03%  npb_bt_s  npb_bt_s       [.] matmul_sub
     8.20%  npb_bt_s  npb_bt_s       [.] binvcrhs
     6.54%  npb_bt_s  npb_bt_s       [.] x_solve
     6.34%  npb_bt_s  npb_bt_s       [.] z_solve
     5.96%  npb_bt_s  libc-2.28.so   [.] __GI___printf_fp_l
     2.17%  npb_bt_s  libc-2.28.so   [.] _IO_file_xsputn@@GLIBC_2.2.5
     2.11%  npb_bt_s  npb_bt_s       [.] y_solve
     1.65%  npb_bt_s  npb_bt_s       [.] add


# Samples: 18  of event 'dTLB-load-misses:u'
# Event count (approx.): 215
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    38.14%  npb_bt_s  npb_bt_s       [.] compute_rhs
    21.40%  npb_bt_s  npb_bt_s       [.] matvec_sub
    18.14%  npb_bt_s  npb_bt_s       [.] z_solve
    13.02%  npb_bt_s  npb_bt_s       [.] y_solve
     4.65%  npb_bt_s  npb_bt_s       [.] add
     4.65%  npb_bt_s  npb_bt_s       [.] x_solve


# Samples: 46  of event 'dTLB-loads:u'
# Event count (approx.): 28217706
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    37.67%  npb_bt_s  npb_bt_s       [.] matmul_sub
    17.46%  npb_bt_s  npb_bt_s       [.] binvcrhs
    15.29%  npb_bt_s  npb_bt_s       [.] x_solve
    12.65%  npb_bt_s  npb_bt_s       [.] y_solve
     9.26%  npb_bt_s  npb_bt_s       [.] matvec_sub
     4.68%  npb_bt_s  npb_bt_s       [.] z_solve
     2.08%  npb_bt_s  npb_bt_s       [.] compute_rhs
     0.90%  npb_bt_s  npb_bt_s       [.] binvrhs


# Samples: 12  of event 'dTLB-store-misses:u'
# Event count (approx.): 12
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    41.67%  npb_bt_s  npb_bt_s       [.] binvcrhs
    33.33%  npb_bt_s  npb_bt_s       [.] compute_rhs
    16.67%  npb_bt_s  npb_bt_s       [.] z_solve
     8.33%  npb_bt_s  npb_bt_s       [.] x_solve


# Samples: 45  of event 'dTLB-stores:u'
# Event count (approx.): 13615384
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    46.33%  npb_bt_s  npb_bt_s       [.] binvcrhs
    19.01%  npb_bt_s  npb_bt_s       [.] y_solve
    15.33%  npb_bt_s  npb_bt_s       [.] z_solve
     6.58%  npb_bt_s  npb_bt_s       [.] lhsinit
     6.33%  npb_bt_s  npb_bt_s       [.] x_solve
     2.19%  npb_bt_s  npb_bt_s       [.] matvec_sub
     2.17%  npb_bt_s  npb_bt_s       [.] compute_rhs
     2.08%  npb_bt_s  npb_bt_s       [.] matmul_sub


# Samples: 7  of event 'iTLB-load-misses:u'
# Event count (approx.): 262
#
# Overhead  Command   Shared Object  Symbol     
# ........  ........  .............  ...........
#
    90.84%  npb_bt_s  npb_bt_s       [.] add
     8.78%  npb_bt_s  npb_bt_s       [.] adi
     0.38%  npb_bt_s  npb_bt_s       [.] x_solve


# Samples: 45  of event 'iTLB-loads:u'
# Event count (approx.): 69396212
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    37.71%  npb_bt_s  npb_bt_s       [.] binvcrhs
    26.34%  npb_bt_s  npb_bt_s       [.] matmul_sub
    11.40%  npb_bt_s  npb_bt_s       [.] compute_rhs
     8.51%  npb_bt_s  npb_bt_s       [.] z_solve
     6.81%  npb_bt_s  npb_bt_s       [.] y_solve
     6.10%  npb_bt_s  npb_bt_s       [.] x_solve
     3.13%  npb_bt_s  npb_bt_s       [.] matvec_sub


# Samples: 1  of event 'node-prefetches:u'
# Event count (approx.): 1
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
   100.00%  npb_bt_s  npb_bt_s       [.] compute_rhs


#
# (Tip: Limit to show entries above 5% only: perf report --percent-limit 5)
#
