Flag,Real Time
-floop-unroll-and-jam,11.45
-fsplit-paths,11.64
-finline-functions,11.56
-fpeel-loops,11.71
-fpredictive-commoning,11.74
-fipa-cp-clone,11.66
-ftree-loop-vectorize,11.62
-ftree-partial-pre,11.80
-fsplit-loops,11.50
-fgcse-after-reload,11.60
-ftree-loop-distribute-patterns,11.42
-ftree-slp-vectorize,11.67
-O3,11.64
-floop-interchange,11.52
-ftree-loop-distribution,11.69
-funswitch-loops,11.52
