Flag,Real Time
-ftree-slp-vectorize,9.81
-finline-functions,9.80
-fgcse-after-reload,9.62
-floop-unroll-and-jam,9.81
-fpeel-loops,9.81
-ftree-loop-vectorize,9.79
-fsplit-paths,9.81
-fpredictive-commoning,9.63
-fipa-cp-clone,9.82
-ftree-loop-distribute-patterns,9.86
-fsplit-loops,9.82
-O3,9.77
-floop-interchange,9.82
-ftree-loop-distribution,9.66
-funswitch-loops,9.79
-ftree-partial-pre,9.83
